,dist_kilometers,vendor_code
40873,1.796,71
18676,4.912,81
67241,12.981,66
18595,10.204,97
54090,3.217,105
463,0.084,71
56416,6.264,80
89978,0.801,81
69330,3.591,66
44647,0.023,97
59012,3.353,97
5279,17.412,0
18995,2.013,10
44811,4.654,97
53879,10.74,80
50480,2.358,97
53347,7.482,71
40268,8.218,66
54424,2.33,10
27895,4.189,71
46997,4.504,97
78734,2.445,80
44774,3.094,105
22752,4.446,97
46985,11.316,97
16976,3.953,80
82545,0.056,99
9593,6.263,97
88118,5.568,0
23785,0.753,97
26528,1.683,97
12402,6.79,97
502,1.063,97
64179,8.583,0
89876,3.286,71
23728,3.55,97
3914,5.984,88
63,0.797,80
59499,4.081,30
81592,3.954,0
73083,9.279,71
56866,12.251,80
50624,11.821,81
25697,2.361,97
53584,0.047,71
65022,1.888,81
45426,8.261,97
9694,3.831,97
52298,9.643,10
23545,0.121,71
44399,3.892,71
88080,6.341,0
44571,2.956,134
64453,3.501,77
57001,4.303,0
87516,11.809,0
41926,7.24,66
46808,0.066,84
74278,2.209,80
62156,7.263,71
13886,3.742,80
27964,11.267,71
80931,8.343,97
72089,0.116,80
57357,5.468,71
68297,6.021,0
81692,1.216,97
80040,6.992,81
43680,14.638,0
29162,5.24,97
21614,3.314,97
15145,10.219,79
50310,6.832,97
85157,6.022,97
33656,5.449,0
5623,6.69,0
11671,2.917,71
41808,2.994,97
523,6.576,97
80629,0.909,81
1122,0.129,38
8567,1.898,0
90056,3.94,10
78777,8.904,66
84855,0.215,43
3915,3.882,97
46876,1.582,80
15540,4.816,80
4965,3.654,97
48334,1.659,81
35499,2.467,97
81253,2.59,58
20662,0.095,66
38714,2.054,97
72598,13.461,36
18824,4.337,71
65670,1.347,79
8286,7.547,80
70302,4.692,1
28038,7.416,97
76536,0.023,71
46401,6.763,97
57537,7.185,0
2640,1.266,97
72748,1.901,71
30997,8.158,108
57875,4.567,0
13164,0.419,58
39526,9.818,97
64962,1.694,97
